City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
207,Dharchula,IN,2021-09-18 01:11:23,29.85,80.5333,68.95,87,0,2.73
208,Troitsko-Pechorsk,RU,2021-09-18 01:11:23,62.7084,56.1964,36.7,82,100,13.29
209,Mackenzie,CA,2021-09-18 01:11:23,55.2999,-123.1698,41.79,98,100,3.44
210,Orlik,RU,2021-09-18 01:11:24,52.5178,99.825,49.44,52,11,2.42
211,Spornoye,RU,2021-09-18 01:11:24,50.8448,37.2913,50.41,76,100,13.85
212,San Jeronimo,PE,2021-09-18 01:11:25,-11.9472,-75.2829,53.51,65,76,3.56
213,Sokolo,ML,2021-09-18 01:11:25,14.7328,-6.1219,79.47,64,100,1.59
214,Maymyo,MM,2021-09-18 01:11:25,22.0333,96.4667,68.02,93,100,1.61
215,Westport,US,2021-09-18 01:11:26,41.1415,-73.3579,72.79,93,42,5.01
216,Nichinan,JP,2021-09-18 01:11:26,31.6,131.3667,82.6,69,7,5.75
217,Rosetta,EG,2021-09-18 01:11:27,31.4044,30.4164,76.69,64,0,11.39
218,San Quintin,MX,2021-09-18 01:10:00,30.4833,-115.95,70.11,71,0,12.19
219,Praia Da Vitoria,PT,2021-09-18 01:11:27,38.7333,-27.0667,68.76,77,100,5.19
220,Alzenau,DE,2021-09-18 01:11:28,50.0834,9.0666,56.3,82,14,1.68
221,Sjenica,RS,2021-09-18 01:11:28,43.2731,19.9994,52.2,98,27,3.38
222,Marawi,PH,2021-09-18 01:11:29,7.9986,124.2928,72.64,68,100,1.41
223,Luderitz,NA,2021-09-18 01:11:29,-26.6481,15.1594,55.92,75,0,17.29
224,Marzuq,YE,2021-09-18 01:11:29,14.4,46.4667,79.21,38,65,4.45
225,Atasu,KZ,2021-09-18 01:11:30,48.6814,71.6433,44.24,82,0,6.08
226,Nantucket,US,2021-09-18 01:09:42,41.2835,-70.0995,70.0,94,38,14.88
227,Blatec,MK,2021-09-18 01:11:30,41.8378,22.5781,64.36,61,40,2.68
228,Maputo,MZ,2021-09-18 01:11:31,-25.9653,32.5892,60.22,79,94,10.0
229,Puerto Escondido,MX,2021-09-18 01:11:31,15.85,-97.0667,80.35,85,100,2.3
230,Alexander City,US,2021-09-18 01:11:31,32.944,-85.9539,76.41,97,84,3.31
231,Shaunavon,CA,2021-09-18 01:07:40,49.6501,-108.4181,64.18,16,90,13.22
232,Rumphi,MW,2021-09-18 01:11:32,-11.0186,33.8575,65.53,65,0,4.23
233,Villa De Alvarez,MX,2021-09-18 01:11:32,19.25,-103.7333,73.83,97,100,2.48
234,Shymkent,KZ,2021-09-18 01:11:33,42.3,69.6,69.89,14,0,3.47
235,Belmonte,BR,2021-09-18 01:11:33,-15.8631,-38.8828,70.45,73,2,6.98
236,Bonavista,CA,2021-09-18 01:11:33,48.6499,-53.1147,58.12,73,78,14.99
237,Samarai,PG,2021-09-18 01:11:34,-10.6167,150.6667,78.28,84,100,19.51
238,Carballo,ES,2021-09-18 01:11:35,43.213,-8.691,61.86,92,7,1.48
239,Sitka,US,2021-09-18 01:09:27,57.0531,-135.33,48.96,89,100,5.79
240,Oga,IT,2021-09-18 01:11:35,46.4631,10.347,52.68,89,18,1.52
241,Huari,PE,2021-09-18 01:11:36,-9.3333,-77.2333,45.82,78,80,4.34
242,Buraydah,SA,2021-09-18 01:11:36,26.326,43.975,80.13,22,18,6.24
243,Esperance,AU,2021-09-18 01:11:37,-33.8667,121.9,57.92,56,34,20.76
244,Comodoro Rivadavia,AR,2021-09-18 01:09:36,-45.8667,-67.5,54.39,43,3,11.97
245,San Roque,ES,2021-09-18 01:11:37,36.2107,-5.3842,69.87,71,0,5.68
246,Pytalovo,RU,2021-09-18 01:11:37,57.0679,27.9138,37.15,78,100,10.29
247,Upernavik,GL,2021-09-18 01:11:38,72.7868,-56.1549,30.18,82,100,12.59
248,Contamana,PE,2021-09-18 01:11:38,-7.3333,-75.0167,73.36,87,59,2.06
249,Okha,RU,2021-09-18 01:11:38,53.5739,142.9478,58.42,66,76,15.73
250,Richards Bay,ZA,2021-09-18 01:11:39,-28.783,32.0377,61.54,70,97,10.13
251,Hasaki,JP,2021-09-18 01:11:39,35.7333,140.8333,76.26,86,100,25.55
252,Lakes Entrance,AU,2021-09-18 01:11:40,-37.8811,147.981,69.57,56,5,7.25
253,Boshnyakovo,RU,2021-09-18 01:11:40,49.6333,142.1667,62.37,67,99,14.27
254,Kaitangata,NZ,2021-09-18 01:11:40,-46.2817,169.8464,51.42,50,6,8.21
255,Tacoronte,ES,2021-09-18 01:07:21,28.4769,-16.4102,69.26,81,34,1.01
256,Saint Andrews,US,2021-09-18 01:11:41,34.0454,-81.1293,75.99,81,10,4.0
257,Ulety,RU,2021-09-18 01:11:41,51.3572,112.4849,48.7,74,100,6.22
258,Boca Do Acre,BR,2021-09-18 01:11:42,-8.7522,-67.3978,74.91,84,51,1.32
